begin,end
00010110,00010277
00000109,00010225
00000667,00010159
00010130,00010172
00010318,00010778
00000487,00010684
00010431,00010495
00010330,00010607
00010013,00010020
00010601,00010697
00010189,00011018
00010607,00010756
00010281,00010698
00010131,00010944
00010539,00010980
00000633,00000688
00000777,00010392
00000124,00000163
00010012,00010949
00010024,00010614
00010531,00010772
00010480,00010989
00000566,00010518
00010528,00010599
00010641,00010731
00010004,00010350
00010087,00010166
00010288,00010652
00010037,00010551
00000457,00010648
00010159,00010543
00010352,00010948
00000277,00010229
00010320,00010550
00010690,00010983
00010273,00010497
00010275,00010732
00000548,00010356
00010282,00010753
00000905,00010157
00010460,00010588
00010596,00010942
00010171,00010648
00010841,00010893
00010885,00011018
00010067,00010327
00010569,00010783
00000567,00000996
00010005,00010230
00010016,00010050
00000904,00010808
00010242,00010246
00010087,00010940
00010166,00010438
00010719,00010950
00010188,00010926
00000575,00010716
00010184,00010885
00010640,00010741
00010184,00010284
00010599,00010784
00000712,00010012
00010649,00010976
00010009,00010232
00010094,00010406
00010284,00010926
00010706,00011011
00000765,00010131
00010062,00010899
00000458,00010826
00000196,00000350
00010375,00010608
00010190,00010386
00010898,00010943
00000567,00010945
00010225,00010445
00000302,00000962
00010058,00010067
00010082,00010132
00010367,00010431
00010194,00010835
00000962,00010290
00010243,00010649
00000636,00011018
00000886,00010712
00000647,00010962
00010439,00010696
00010798,00010969
00000398,00010596
00010232,00010835
00010464,00010747
00010245,00010347
00010013,00010583
00010707,00011011
00010338,00010868
00000635,00010894
00000613,00010887
00010150,00010555
00010456,00010495
00010881,00011029
00010886,00010983
00010056,00010137
00010013,00010032
00010347,00010734
00000163,00000913
00010008,00010037
00000380,00010120
00010242,00010320
00000784,00010376
00010004,00010026
00010050,00010979
00010905,00010979
00000398,00010620
00000706,00010211
00010162,00010934
00000319,00010225
00000286,00000631
00010466,00010614
00010614,00010837
00000194,00011021
00010488,00010604
00010393,00010917
00000978,00010533
00010224,00010702
00000575,00010172
00000684,00010594
00010131,00010890
00010511,00010521
00000704,00010319
00010297,00010396
