id,M500,M1000,M1500,M2000,M2500,M3000,M3500,M4000,M4500,M5000
ST00010236,2,6,11,20,27,32,33,54,40,34
ST00010238,1,9,8,15,27,26,41,38,43,39
ST00010326,4,7,11,23,32,34,45,41,42,40
ST00010505,2,9,9,23,29,37,36,56,33,41
ST00010526,3,10,8,19,33,26,53,29,42,40
ST00010527,2,11,10,18,32,34,49,32,39,41
ST00010589,1,16,25,24,41,42,47,36,39,45
ST00000649,3,10,23,27,34,49,45,45,40,40
ST00010239,3,10,16,16,29,32,28,47,29,45
ST00010240,3,9,19,15,29,26,34,40,34,43
ST00010241,1,8,11,10,16,33,26,34,38,44
ST00010585,3,9,13,14,31,20,35,40,37,38
ST00010627,0,15,22,25,29,38,43,35,40,41
ST00000870,4,9,11,11,25,25,29,39,40,30
ST00010242,5,6,16,11,17,18,26,28,37,38
ST00010243,2,13,18,28,33,30,26,31,26,33
ST00010250,1,10,8,13,9,14,21,25,30,40
ST00010273,3,15,14,13,17,26,25,28,35,40
ST00010318,5,6,16,11,16,19,25,28,37,36
ST00010320,2,17,15,15,28,32,24,28,37,28
ST00010411,0,13,25,18,22,26,29,28,43,36
ST00010536,6,6,10,14,20,17,19,29,38,42
ST00010566,3,6,7,13,15,19,20,32,28,42
ST00010597,6,7,8,20,17,18,24,33,34,45
ST00010734,5,5,9,15,13,16,19,32,37,34
ST00000857,2,12,9,20,20,20,26,40,39,37
ST00010244,2,19,28,38,32,35,32,35,34,46
ST00010245,4,9,8,27,23,38,31,28,23,40
ST00010246,6,8,7,13,16,25,34,29,27,26
ST00010247,6,7,7,12,14,21,34,31,20,34
ST00010248,4,10,8,16,9,19,27,24,28,42
ST00010346,4,12,29,33,43,20,38,34,42,49
ST00010347,6,8,8,10,14,23,27,30,24,39
ST00010483,5,18,30,37,32,33,36,31,36,55
ST00010583,7,28,32,32,25,38,41,45,46,43
ST00010584,7,27,34,31,25,35,44,43,47,43
ST00010598,5,25,37,30,31,31,45,37,42,48
ST00010599,5,7,24,23,41,30,27,24,39,27
ST00010648,4,11,25,34,44,22,35,34,41,53
ST00010649,7,6,7,14,16,17,36,32,24,29
ST00010745,3,8,11,20,21,36,34,28,20,43
ST00010777,7,7,10,14,16,28,30,27,31,29
ST00010778,7,5,10,10,14,19,27,32,21,40
ST00010798,6,22,41,20,38,39,47,33,45,42
ST00010799,2,8,7,8,13,10,26,30,26,30
ST00010820,6,6,7,14,19,27,34,29,28,23
ST00010830,7,7,9,19,23,30,34,21,32,29
ST00010855,4,14,24,37,38,29,26,32,27,48
ST00010882,4,13,28,36,34,33,28,30,24,50
ST00010908,6,16,29,41,32,31,36,33,34,54
ST00010976,2,10,20,30,38,33,30,20,39,26
ST00011004,4,10,26,28,46,27,27,40,39,53
ST00000575,5,28,38,25,31,39,43,38,41,48
ST00000796,7,16,30,31,40,23,38,38,49,46
ST00000909,2,1,2,9,7,10,31,37,41,51
ST00000911,2,1,5,6,5,13,18,33,37,41
ST00000974,2,1,4,6,6,11,17,34,38,42
ST00000916,4,6,17,28,37,44,38,40,41,57
ST00000917,4,6,17,28,37,45,37,40,41,57
ST00000915,0,4,2,19,37,32,46,46,37,44
ST00000910,3,2,11,26,38,35,44,39,42,48
ST00000914,3,2,14,28,36,40,41,36,45,52
ST00000912,2,2,16,21,20,23,38,31,36,35
ST00000913,0,6,6,6,14,16,29,38,37,37
ST00010092,3,11,22,33,35,38,44,62,63,48
ST00010093,8,10,19,29,24,30,40,60,48,58
ST00010094,3,11,15,19,13,23,29,19,36,44
ST00000410,8,7,17,16,15,12,27,44,50,52
ST00010096,8,7,12,19,11,13,24,44,53,47
ST00010097,4,16,9,14,7,17,37,40,56,50
ST00010098,5,13,9,4,6,21,43,47,37,54
ST00010099,9,10,9,5,6,26,56,42,38,55
ST00010101,8,8,6,8,10,31,47,44,37,52
ST00010769,5,6,5,14,14,19,17,22,36,29
ST00010710,3,4,3,1,2,12,19,18,26,22
ST00010711,2,7,7,11,12,21,19,17,23,27
ST00010727,5,11,14,35,37,44,50,48,48,48
ST00010728,1,12,20,20,23,44,46,40,40,37
ST00010729,2,7,12,16,24,22,23,29,33,39
ST00010730,3,7,7,9,11,10,12,14,12,24
ST00010763,0,7,4,7,14,8,12,5,8,22
ST00010732,6,16,10,19,25,25,29,40,48,39
ST00010733,6,13,12,20,25,25,28,37,50,36
ST00010102,3,6,7,6,9,17,39,27,61,39
ST00010739,5,6,19,22,33,39,37,44,46,44
ST00010746,4,11,14,25,29,37,35,39,37,52
ST00010794,7,13,14,18,21,23,30,39,46,49
ST00010803,0,5,5,10,13,23,18,27,25,25
ST00010804,0,5,4,4,10,16,24,19,23,27
ST00010809,8,9,6,7,9,34,43,48,33,51
ST00010810,2,13,15,23,31,33,47,44,44,39
ST00010815,7,3,7,12,12,15,16,17,27,30
ST00010831,2,3,4,2,3,11,13,25,19,18
ST00010847,6,16,15,23,24,23,43,39,51,52
ST00010848,4,10,12,12,20,19,15,27,25,36
ST00010859,2,9,9,8,15,13,11,17,17,29
ST00010860,7,6,17,17,16,12,21,46,46,51
ST00010870,3,12,14,19,27,19,29,40,30,50
ST00010894,2,8,23,36,43,37,49,53,53,70
ST00010898,4,7,20,32,25,41,42,46,59,49
ST00010899,4,6,15,39,25,40,44,54,51,49
ST00010104,4,12,21,31,26,31,54,56,59,47
ST00010903,3,13,13,20,20,28,46,35,35,38
ST00010904,2,14,24,24,44,53,42,62,42,54
ST00010905,2,8,21,16,30,42,39,46,36,33
ST00010915,3,9,17,14,23,18,8,37,33,34
ST00010916,0,6,15,37,47,40,42,54,40,46
ST00010923,2,9,12,25,5,9,17,17,18,42
ST00010924,3,5,12,11,16,6,10,18,17,18
ST00010943,3,14,17,18,16,22,30,41,47,63
ST00010979,3,11,18,30,35,47,44,43,43,59
ST00010980,3,13,12,37,32,45,54,41,53,42
ST00010724,3,3,13,22,30,20,30,33,28,39
ST00010996,2,3,15,24,23,22,35,26,41,41
ST00011010,6,4,7,12,12,18,16,23,28,34
ST00011008,3,5,12,22,26,30,26,32,37,34
ST00000386,9,7,4,9,15,29,40,53,36,46
ST00011011,1,12,16,15,19,24,34,28,39,28
ST00011012,2,16,22,13,14,31,26,40,44,54
ST00011017,3,11,16,16,28,28,29,47,31,33
ST00000124,1,7,20,21,10,12,18,13,33,38
